Date,Open,High,Low,Close,Volume,OI
2018-05-04 00:00:00,0.5,0.5,0.49,0.5,49277800,0
2018-05-07 00:00:00,0.5,0.51,0.49,0.49,6405600,0
2018-05-08 00:00:00,0.5,0.51,0.49,0.5,12679200,0
2018-05-09 00:00:00,0.51,0.51,0.5,0.5,2804200,0
2018-05-10 00:00:00,0.51,0.53,0.51,0.52,17352400,0
2018-05-11 00:00:00,0.53,0.53,0.51,0.52,8127600,0
2018-05-14 00:00:00,0.52,0.52,0.51,0.51,4231100,0
2018-05-15 00:00:00,0.52,0.52,0.51,0.51,1884000,0
2018-05-16 00:00:00,0.52,0.52,0.51,0.51,3596500,0
2018-05-17 00:00:00,0.52,0.52,0.51,0.51,773800,0
2018-05-18 00:00:00,0.52,0.53,0.52,0.52,4502700,0
2018-05-21 00:00:00,0.52,0.53,0.52,0.52,2156900,0
2018-05-22 00:00:00,0.52,0.53,0.52,0.52,6194500,0
2018-05-23 00:00:00,0.53,0.57,0.52,0.56,29339900,0
2018-05-24 00:00:00,0.56,0.58,0.56,0.56,8823200,0
2018-05-25 00:00:00,0.57,0.57,0.55,0.55,9237400,0
2018-05-28 00:00:00,0.55,0.57,0.55,0.55,4879900,0
2018-05-30 00:00:00,0.56,0.58,0.55,0.57,15048600,0
2018-05-31 00:00:00,0.57,0.59,0.56,0.59,20126000,0
2018-06-01 00:00:00,0.59,0.6,0.58,0.58,19836200,0
2018-06-04 00:00:00,0.59,0.59,0.57,0.57,5128600,0
2018-06-05 00:00:00,0.57,0.58,0.55,0.55,9324500,0
2018-06-06 00:00:00,0.55,0.58,0.55,0.58,7043600,0
2018-06-07 00:00:00,0.58,0.58,0.56,0.57,8808100,0
2018-06-08 00:00:00,0.58,0.58,0.57,0.57,1729600,0
2018-06-11 00:00:00,0.58,0.58,0.55,0.56,9127800,0
2018-06-12 00:00:00,0.56,0.57,0.55,0.56,7552600,0
2018-06-13 00:00:00,0.56,0.58,0.56,0.56,4022700,0
2018-06-14 00:00:00,0.57,0.57,0.56,0.56,4101000,0
2018-06-15 00:00:00,0.56,0.57,0.55,0.55,9065100,0
2018-06-18 00:00:00,0.55,0.56,0.54,0.54,7959300,0
2018-06-19 00:00:00,0.54,0.55,0.53,0.53,7743100,0
2018-06-20 00:00:00,0.53,0.54,0.53,0.53,441800,0
2018-06-21 00:00:00,0.53,0.54,0.53,0.53,1535200,0
2018-06-22 00:00:00,0.54,0.54,0.53,0.53,611400,0
2018-06-25 00:00:00,0.53,0.54,0.52,0.52,13231100,0
2018-06-26 00:00:00,0.52,0.53,0.52,0.53,4856600,0
2018-06-27 00:00:00,0.54,0.54,0.52,0.52,8625700,0
2018-06-28 00:00:00,0.52,0.53,0.52,0.53,3571700,0
2018-06-29 00:00:00,0.53,0.53,0.52,0.53,2623700,0
2018-07-02 00:00:00,0.52,0.53,0.52,0.52,6123500,0
2018-07-03 00:00:00,0.52,0.53,0.52,0.52,993300,0
2018-07-04 00:00:00,0.52,0.53,0.52,0.52,598000,0
2018-07-05 00:00:00,0.53,0.53,0.52,0.52,1909400,0
2018-07-06 00:00:00,0.52,0.52,0.51,0.52,1014800,0
2018-07-09 00:00:00,0.53,0.53,0.52,0.52,1233300,0
2018-07-10 00:00:00,0.52,0.53,0.52,0.52,294000,0
2018-07-11 00:00:00,0.52,0.52,0.51,0.51,2155400,0
2018-07-12 00:00:00,0.52,0.52,0.51,0.52,137700,0
2018-07-13 00:00:00,0.52,0.53,0.52,0.52,3051800,0
2018-07-16 00:00:00,0.52,0.52,0.51,0.52,2252300,0
2018-07-17 00:00:00,0.52,0.52,0.51,0.51,4965800,0
2018-07-18 00:00:00,0.52,0.52,0.51,0.52,2025000,0
2018-07-19 00:00:00,0.52,0.52,0.51,0.51,732000,0
2018-07-20 00:00:00,0.51,0.52,0.5,0.51,1861000,0
2018-07-23 00:00:00,0.51,0.52,0.5,0.51,1199000,0
2018-07-24 00:00:00,0.51,0.51,0.5,0.5,2971600,0
2018-07-25 00:00:00,0.51,0.51,0.5,0.51,629900,0
2018-07-26 00:00:00,0.5,0.51,0.49,0.5,2640700,0
2018-07-31 00:00:00,0.51,0.51,0.49,0.5,2683300,0
2018-08-01 00:00:00,0.49,0.5,0.49,0.5,4350200,0
2018-08-02 07:00:00,0.5,0.5,0.49,0.5,1488800,0
2018-08-03 07:00:00,0.5,0.5,0.49,0.49,1268600,0
2018-08-06 07:00:00,0.5,0.5,0.48,0.49,1589800,0
2018-08-07 07:00:00,0.5,0.5,0.49,0.49,664000,0
2018-08-08 07:00:00,0.5,0.5,0.49,0.49,1434100,0
2018-08-09 07:00:00,0.5,0.5,0.49,0.49,1647700,0
2018-08-10 07:00:00,0.49,0.5,0.48,0.48,6671100,0
2018-08-14 07:00:00,0.49,0.49,0.46,0.49,7170600,0
2018-08-15 07:00:00,0.49,0.49,0.47,0.48,2289400,0
2018-08-16 07:00:00,0.48,0.48,0.47,0.47,864700,0
2018-08-17 07:00:00,0.48,0.48,0.46,0.47,1367500,0
2018-08-20 07:00:00,0.47,0.47,0.45,0.45,4996100,0
2018-08-21 07:00:00,0.45,0.46,0.43,0.46,7658300,0
2018-08-22 07:00:00,0.46,0.46,0.45,0.46,2551000,0
2018-08-23 07:00:00,0.46,0.47,0.46,0.46,665300,0
2018-08-24 07:00:00,0.47,0.47,0.46,0.46,2007300,0
2018-08-27 07:00:00,0.46,0.47,0.46,0.46,401600,0
2018-08-28 07:00:00,0.46,0.47,0.46,0.46,718200,0
2018-08-29 07:00:00,0.47,0.47,0.45,0.46,1224200,0
2018-08-30 07:00:00,0.46,0.46,0.45,0.45,1073200,0
2018-08-31 07:00:00,0.46,0.46,0.45,0.46,2495700,0
2018-09-03 07:00:00,0.46,0.46,0.46,0.46,534000,0
2018-09-04 07:00:00,0.47,0.47,0.46,0.47,682400,0
2018-09-05 07:00:00,0.47,0.47,0.45,0.47,956200,0
2018-09-06 07:00:00,0.47,0.47,0.44,0.46,15075800,0
2018-09-07 07:00:00,0.44,0.46,0.43,0.44,6252700,0
